ProductId,BarCode,ProductName,SupplierId,Inventory,Price
111121,01321300132131,Produto1,2,90,25.99
12112,01321300123132131,Produto2,2,80,22.99
13112,013213001231232131,Produto3,2,120,29.99
14112,0132130013332232131,Produto4,2,95,18.50
11152,01321301111110132131,Produto5,2,75,24.99
17112,0132130012312132131,Produto6,2,110,27.99
18112,0132130012312232131,Produto7,2,85,21.99
19112,0132130012312432131,Produto8,2,100,19.99
20112,0132130012312532131,Produto9,2,70,23.99
21112,0132130012312632131,Produto10,2,105,26.99
22112,0132130012312732131,Produto11,2,115,28.50
23112,0132130012312832131,Produto12,2,130,32.99
24112,0132130012312932131,Produto13,2,88,20.99
25112,0132130012312032131,Produto14,2,78,24.50
26112,0132130012312134131,Produto15,2,98,22.99
27112,0132130012312332131,Produto16,2,123,30.99
28112,0132130012312432131,Produto17,2,80,25.99
29112,0132130012312532131,Produto18,2,95,28.99
30112,0132130012312632131,Produto19,2,75,23.50
31112,0132130012312732131,Produto20,2,85,26.99
